name,cust,date,sales
Yanez Ruiz  Andrea,773,1997-03-03,15.36
Yanez Ruiz  Andrea,773,1997-07-29,31.03
Yanez Ruiz  Andrea,773,1997-12-17,29.48
Yanez Ruiz  Andrea,773,1997-12-18,28.49
Yanez Ruiz  Andrea,773,1997-12-22,66.97
Groleau  Antwon,775,1997-01-04,186.67
Roldan  Nicole,789,1997-01-04,27.34
Roldan  Nicole,789,1997-04-27,43.13
Roldan  Nicole,789,1998-03-30,28.97
Gallegos  Brandon,795,1997-01-04,13.97
Sharma  Oscar,816,1997-01-04,35.31
Herrera Silva  Aujane,834,1997-01-04,21.98
Rice-Sayers  Kara,836,1997-01-04,59.08
Rice-Sayers  Kara,836,1997-01-26,144.08
Rice-Sayers  Kara,836,1997-06-01,122.88
Rice-Sayers  Kara,836,1997-11-12,140.42
Pradhan  Elijah,857,1997-01-04,24.94
Francisco-Lopez  Andrea,875,1997-01-04,16.99
Estrada  Naomi,881,1997-01-04,36.94
Estrada  Naomi,881,1997-01-11,11.77
Estrada  Naomi,881,1997-06-02,71.02
Estrada  Naomi,881,1997-07-28,45.09
Estrada  Naomi,881,1998-04-18,106.03
Winkler  Michael,899,1997-01-04,145.47
Smith  Jordan,913,1997-01-04,12.77
Tang  Michael,918,1997-01-04,51.87
Tang  Michael,918,1997-02-14,69.23
Tang  Michael,918,1997-12-07,15.49
Nguyen  Laroy,936,1997-01-04,14.99
Vargas  Shelia,947,1997-01-04,53.46
Vargas  Shelia,947,1997-02-09,20.77
Crowley  Stewart,958,1997-01-04,117.1
Li  Robert,974,1997-01-04,18.36
Avila  Christian,989,1997-01-05,14.96
Sanchez  Daijia,1012,1997-01-05,13.97
Sanchez  Daijia,1012,1997-03-07,13.77
Sanchez  Daijia,1012,1997-03-22,14.37
Sanchez  Daijia,1012,1997-05-03,32.51
Aslami  Malik,1014,1997-01-05,96.36
Palma  Tony,1034,1997-01-05,33.96
Cross  Kye,1035,1997-01-05,66.84
Cross  Kye,1035,1997-02-26,42.09
Wade  Kindra,1050,1997-01-05,21.76
Cabral Cosio  Harmann,1062,1997-01-05,14.96
Phan  Gabriel,1080,1997-01-05,14.99
Chavez  Elura,1099,1997-01-05,14.96
Chavez  Elura,1099,1997-02-03,24.74
Chavez  Elura,1099,1997-02-05,8
Chavez  Elura,1099,1997-02-25,13.97
Chavez  Elura,1099,1997-02-27,27.77
Chavez  Elura,1099,1997-03-18,45.28
Chavez  Elura,1099,1997-06-24,58.68
Chavez  Elura,1099,1997-07-09,14.96
Chavez  Elura,1099,1997-12-30,17.49
Chavez  Elura,1099,1998-02-27,18.49
Chavez  Elura,1099,1998-03-23,10.49
Chavez  Elura,1099,1998-06-17,46.47
Nguyen  Michael,1108,1997-01-05,16.3
Nguyen  Michael,1108,1997-01-05,13.99
Nguyen  Michael,1108,1997-02-14,14.96
Nguyen  Michael,1108,1997-03-05,11.58
Nguyen  Michael,1108,1997-03-26,6.79
Nguyen  Michael,1108,1997-04-13,6.79
Nguyen  Michael,1108,1997-07-24,12.25
Nguyen  Michael,1108,1997-08-04,20.74
Nguyen  Michael,1108,1997-08-24,11.77
Nguyen  Michael,1108,1997-08-24,12.25
Nguyen  Michael,1108,1997-09-03,14.96
Nguyen  Michael,1108,1997-09-09,12.99
Nguyen  Michael,1108,1997-09-10,11.49
Nguyen  Michael,1108,1997-10-07,5.49
Nguyen  Michael,1108,1997-11-18,4.49
Nguyen  Michael,1108,1997-11-18,5.49
Nguyen  Michael,1108,1998-03-01,5.49
Nguyen  Michael,1108,1998-03-06,2.99
Ngiateng  Luke,1131,1997-01-05,71.63
Yang  James,1150,1997-01-05,37.97
Najjar  Lorenzo,1158,1997-01-05,79.94
Najjar  Lorenzo,1158,1997-08-26,14.99
Cardoza  Aamien,1167,1997-01-05,47.28
Cardoza  Aamien,1167,1997-01-11,60.84
Cardoza  Aamien,1167,1997-01-14,19.94
Cardoza  Aamien,1167,1997-01-22,24.74
Cardoza  Aamien,1167,1997-02-10,23.54
Cardoza  Aamien,1167,1997-05-18,99.19
Cardoza  Aamien,1167,1997-09-24,76.97
Cardoza  Aamien,1167,1998-04-18,62.79
Lang  Christian,1174,1997-01-05,34.9
Velez  Anthony,1188,1997-01-05,43.09
Briones  Jason,1209,1997-01-05,31.51
Delgado  Shawn,1223,1997-01-05,56.51
Padilla  Morgan,1240,1997-01-05,36.36
Miller  Fernando,1241,1997-01-05,11.77
Miller  Fernando,1241,1997-06-22,25.74
Miller  Fernando,1241,1997-08-16,41.1
Miller  Fernando,1241,1997-12-21,14.99
Miller  Fernando,1241,1998-01-28,38.97
Herrera Martinez Jr  Ajanae,1251,1997-01-05,6.79
Herrera Martinez Jr  Ajanae,1251,1997-01-15,4.79
Herrera Martinez Jr  Ajanae,1251,1997-08-24,24.5
Herrera Martinez Jr  Ajanae,1251,1997-09-11,35.96
Herrera Martinez Jr  Ajanae,1251,1997-09-25,17.48
Herrera Martinez Jr  Ajanae,1251,1998-01-17,32.47
Herrera Martinez Jr  Ajanae,1251,1998-03-26,58.97
Herrera Martinez Jr  Ajanae,1251,1998-05-05,21.09
Rape  Bryton,1252,1997-01-05,16.99
Rape  Bryton,1252,1997-06-21,26.22
Baak  Phong,441,1997-01-06,62.45
Baak  Phong,441,1997-02-13,12.49
Baak  Phong,441,1997-05-05,6.79
Baak  Phong,441,1997-05-26,6.79
Baak  Phong,441,1997-08-13,37.31
Baak  Phong,441,1997-09-16,23.98
Baak  Phong,441,1997-11-17,15.48
Baak  Phong,441,1997-11-20,14.49
Baak  Phong,441,1997-12-10,14.99
Baak  Phong,441,1998-06-03,24.48
Nguyen  Michael,1115,1997-01-06,19.99
Pena-Mares  Cristal,1265,1997-01-06,34.74
Manalansan  Andrea,1280,1997-01-06,22.7
Kirkman  Dylan,1283,1997-01-06,79.21
Kirkman  Dylan,1283,1997-06-24,92.8
Turner  Kathryn,1291,1997-01-06,52.3
Turner  Kathryn,1291,1997-02-18,52.3
Juarez  Aisha,1302,1997-01-06,125.82
Aguilar  Chantress,1317,1997-01-06,32.98
Schlichenmayer  Chelsea,1322,1997-01-06,27.13
Schlichenmayer  Chelsea,1322,1997-01-08,39.09
Martinez  Paige,1333,1997-01-06,42.49
Martinez  Paige,1333,1997-11-08,29.48
Burnley  Casady,1343,1997-01-06,9.97
Burnley  Casady,1343,1997-01-08,12.97
Burnley  Casady,1343,1998-06-04,12.58
Robinson  Keegan,1350,1997-01-06,156
Beckner  Hoang,1365,1997-01-06,11.77
Mcarthur  Rachel,1377,1997-01-06,14.37
Mcarthur  Rachel,1377,1997-06-24,24.99
Patel  Kurtiz,1380,1997-01-06,29.33
Medicine Blanket  Richard,1393,1997-01-06,8.77
Medicine Blanket  Richard,1393,1997-02-12,28.31
Medicine Blanket  Richard,1393,1998-01-02,58.46
Medicine Blanket  Richard,1393,1998-05-26,14.47
Musick-Occhiuto  Donald,1395,1997-01-06,8.77
Uribe Trujillo  Emily,1420,1997-01-06,11.77
Lam  Adolfo,1433,1997-01-06,9.98
Weaver  Yohannes,1446,1997-01-06,19.77
Pleiman  Daniela,1480,1997-01-06,15.96
Pleiman  Daniela,1480,1997-01-27,13.77
Nguyen  Jose,1483,1997-01-06,163.52
Kuebler  Sereno,1504,1997-01-06,24.99
Kim  Easton,1518,1997-01-06,14.96
Azimi  Alexandra,1528,1997-01-06,10.99
Azimi  Alexandra,1528,1997-02-25,36.71
Azimi  Alexandra,1528,1998-02-13,7.49
Duncan  Erkhes,719,1997-01-07,34.98
Weaver  Yohannes,1463,1997-01-07,28.37
Meraz  Tammy,1540,1997-01-07,10.77
Largo  Yechan,1544,1997-01-07,6.79
Largo  Yechan,1544,1997-01-09,9.58
Largo  Yechan,1544,1997-01-24,19.16
Largo  Yechan,1544,1997-02-13,13.97
Largo  Yechan,1544,1997-03-01,11.77
Cruz  Maya,1560,1997-01-07,12.77
Cruz  Maya,1560,1997-03-15,14.37
Cruz  Maya,1560,1997-06-19,28.74
Cruz  Maya,1560,1997-07-08,14.96
Farley  Nico,1561,1997-01-07,49.87
Farley  Nico,1561,1997-11-10,66.94
Cisneros  Tamesha,1568,1997-01-07,27.99
Cisneros  Tamesha,1568,1997-06-24,71.66
Buckley  Katlyn,1583,1997-01-07,13.7
Buckley  Katlyn,1583,1997-04-09,11.77
Buckley  Katlyn,1583,1997-07-25,15.96
Buckley  Katlyn,1583,1998-01-21,9.49
Buckley  Katlyn,1583,1998-03-05,11.49
Buckley  Katlyn,1583,1998-03-25,12.99
Buckley  Katlyn,1583,1998-06-03,12.58
Buckley  Katlyn,1583,1998-06-09,9.99
Allen  Amanda,1585,1997-01-07,8.77
Allen  Amanda,1585,1998-05-25,15.99
Her  Andres,1596,1997-01-07,35.36
Her  Andres,1596,1997-06-20,19.54
Her  Andres,1596,1997-12-08,44.96
Her  Andres,1596,1998-02-11,32.74
Mitchell  Preston,1605,1997-01-07,44.98
Mitchell  Preston,1605,1997-02-05,19.96
Mitchell  Preston,1605,1997-02-28,26.99
Falls  Jasmin,1618,1997-01-07,12.97
Avorque  Aaron,1623,1997-01-07,14.99
Avorque  Aaron,1623,1997-02-23,29.98
Avorque  Aaron,1623,1997-05-05,73.62
Avorque  Aaron,1623,1997-11-27,106.42
Avorque  Aaron,1623,1998-03-19,30.4
Avorque  Aaron,1623,1998-03-21,9.49
Avorque  Aaron,1623,1998-05-05,97.95
Bogdan  Elizabeth,1627,1997-01-07,11.77
Bogdan  Elizabeth,1627,1997-01-22,29.33
Rodriguez Barragan  Tay Jionna,1631,1997-01-07,11.77
Rodriguez Barragan  Tay Jionna,1631,1997-04-27,23.54
Owens  Kevin,1640,1997-01-07,79.99
Begay  Gregory,1647,1997-01-07,59.98
Begay  Gregory,1647,1997-01-08,27.14
Begay  Gregory,1647,1997-01-09,51.66
Begay  Gregory,1647,1997-02-06,12.97
Begay  Gregory,1647,1997-02-07,26.14
Begay  Gregory,1647,1997-02-24,59.97
Begay  Gregory,1647,1998-01-08,13.99
Begay  Gregory,1647,1998-02-04,22.98
Harvey  Sydney,1655,1997-01-07,26.73
Harvey  Sydney,1655,1997-01-24,14.96
Harvey  Sydney,1655,1997-07-26,15.36
Gordon  Zinnia,1661,1997-01-07,174.99
Gordon  Zinnia,1661,1997-01-21,45.35
Gordon  Zinnia,1661,1997-02-21,17.9
Gordon  Zinnia,1661,1997-02-28,15.7
Gordon  Zinnia,1661,1997-05-13,26.73
Gordon  Zinnia,1661,1997-07-29,31.03
Gordon  Zinnia,1661,1997-08-14,17.95
Gordon  Zinnia,1661,1997-09-03,5.78
Gordon  Zinnia,1661,1997-10-20,29.99
Gordon  Zinnia,1661,1997-10-21,11.49
Gordon  Zinnia,1661,1997-11-12,25.49
Gordon  Zinnia,1661,1998-02-12,14.49
Gordon  Zinnia,1661,1998-06-09,29.99
Romero  Yaa,1663,1997-01-07,14.96
Romero  Yaa,1663,1997-01-22,14.96
Romero  Yaa,1663,1997-09-14,22.99
Huynh  Anthony,1664,1997-01-07,70.42
Lisle  Fabian,1668,1997-01-07,13.97
Lisle  Fabian,1668,1997-02-07,14.39
Lisle  Fabian,1668,1997-05-15,41.95
Lisle  Fabian,1668,1997-07-05,43.57
Lisle  Fabian,1668,1997-07-31,9.77
Lisle  Fabian,1668,1997-07-31,9.77
Lisle  Fabian,1668,1997-12-11,14.99
Vongrith  Langston,1669,1997-01-07,9.98
Vongrith  Langston,1669,1997-01-17,44.32
Vongrith  Langston,1669,1997-01-27,39.47
Vongrith  Langston,1669,1997-03-05,73.98
Vongrith  Langston,1669,1997-03-19,7.98
Vongrith  Langston,1669,1997-03-24,12.77
Vongrith  Langston,1669,1997-04-10,29.95
Vongrith  Langston,1669,1997-08-05,30.54
Vongrith  Langston,1669,1997-08-19,12.25
Vongrith  Langston,1669,1997-08-19,17.7
Vongrith  Langston,1669,1997-08-25,17.37
Vongrith  Langston,1669,1997-08-26,26.73
Vongrith  Langston,1669,1997-09-11,12.99
Vongrith  Langston,1669,1997-09-17,43.92
Vongrith  Langston,1669,1997-09-29,11.49
Vongrith  Langston,1669,1997-10-06,24.48
Vongrith  Langston,1669,1997-10-28,20.99
Vongrith  Langston,1669,1997-12-09,27.98
Vongrith  Langston,1669,1998-03-10,11.19
Vongrith  Langston,1669,1998-03-10,25.98
Vongrith  Langston,1669,1998-03-13,33.98
Adams  Daisy,1686,1997-01-07,13.97
Adams  Daisy,1686,1997-12-09,25.98
Adams  Daisy,1686,1998-01-30,28.48
Adams  Daisy,1686,1998-02-20,35.47
Adams  Daisy,1686,1998-04-19,21.22
Adams  Daisy,1686,1998-04-19,12.99
Adams  Daisy,1686,1998-04-28,15.99
Inthavong  Pedro,1696,1997-01-07,46.48
Inthavong  Pedro,1696,1997-01-22,35.31
Inthavong  Pedro,1696,1997-02-03,26.14
Inthavong  Pedro,1696,1997-07-31,28.93
Inthavong  Pedro,1696,1997-08-26,23.74
Inthavong  Pedro,1696,1997-11-14,22.48
Inthavong  Pedro,1696,1997-11-24,12.99
Choi  Hamdi,1705,1997-01-07,11.77
Choi  Hamdi,1705,1997-02-23,59.84
Choi  Hamdi,1705,1997-07-14,14.79
Choi  Hamdi,1705,1997-09-08,10.77
Choi  Hamdi,1705,1997-09-11,14.37
Cook  Gabriela,1712,1997-01-07,30.97
Corning  Anthony,1733,1997-01-07,11.77
Mcelheney Gerardo  Reatea,1739,1997-01-07,15.36
Mcelheney Gerardo  Reatea,1739,1997-01-27,16.7
Todd  Melissa,1758,1997-01-07,11.77
Todd  Melissa,1758,1997-02-21,34.32
Bortolutti  Jerron,1760,1997-01-07,11.99
Bortolutti  Jerron,1760,1997-01-10,9.97
Bortolutti  Jerron,1760,1997-01-14,13.97
Bortolutti  Jerron,1760,1997-01-19,46.08
Bortolutti  Jerron,1760,1997-01-22,5.99
Bortolutti  Jerron,1760,1997-01-29,27.94
Bortolutti  Jerron,1760,1997-02-03,23.98
Bortolutti  Jerron,1760,1997-02-15,55.47
Bortolutti  Jerron,1760,1997-03-14,14.99
Bortolutti  Jerron,1760,1997-03-20,14.96
Bortolutti  Jerron,1760,1997-04-02,14.96
Bortolutti  Jerron,1760,1997-04-04,72.44
Bortolutti  Jerron,1760,1997-04-08,27.94
Bortolutti  Jerron,1760,1997-04-18,14.96
Bortolutti  Jerron,1760,1997-04-18,11.97
Bortolutti  Jerron,1760,1997-04-20,14.96
Bortolutti  Jerron,1760,1997-05-04,12.77
Bortolutti  Jerron,1760,1997-05-08,14.96
Bortolutti  Jerron,1760,1997-05-15,12.77
Bortolutti  Jerron,1760,1997-06-02,41.69
Bortolutti  Jerron,1760,1997-06-27,29.92
Bortolutti  Jerron,1760,1997-07-06,15.36
Bortolutti  Jerron,1760,1997-07-22,15.96
Bortolutti  Jerron,1760,1997-07-31,14.96
Bortolutti  Jerron,1760,1997-08-03,14.96
Bortolutti  Jerron,1760,1997-08-20,29.92
Bortolutti  Jerron,1760,1997-09-06,15.36
Bortolutti  Jerron,1760,1997-09-11,39.97
Bortolutti  Jerron,1760,1997-09-16,25.98
Bortolutti  Jerron,1760,1997-09-27,57.96
Bortolutti  Jerron,1760,1997-09-28,48.46
Bortolutti  Jerron,1760,1997-10-07,12.49
Bortolutti  Jerron,1760,1997-10-25,25.98
Bortolutti  Jerron,1760,1997-10-25,13.99
Bortolutti  Jerron,1760,1997-11-02,12.99
Bortolutti  Jerron,1760,1997-11-23,13.99
Bortolutti  Jerron,1760,1997-11-25,29.98
Bortolutti  Jerron,1760,1997-11-25,7.49
Bortolutti  Jerron,1760,1997-12-17,12.99
Bortolutti  Jerron,1760,1997-12-18,25.98
Bortolutti  Jerron,1760,1997-12-24,12.99
Bortolutti  Jerron,1760,1998-01-02,12.99
Bortolutti  Jerron,1760,1998-01-27,14.99
Bortolutti  Jerron,1760,1998-03-10,42.98
Bortolutti  Jerron,1760,1998-04-12,11.88
Bortolutti  Jerron,1760,1998-05-17,60.45
Bortolutti  Jerron,1760,1998-06-11,37.96
Fry  Jayson,1783,1997-01-08,14.37
Montez-Dasler  Shakaila,1792,1997-01-08,30.36
Montez-Dasler  Shakaila,1792,1997-01-09,59.06
Montez-Dasler  Shakaila,1792,1997-01-28,50.97
Montez-Dasler  Shakaila,1792,1997-06-30,29.73
Gutierrez  Kalee,1809,1997-01-08,31.54
Ryckman  Aeneva,1825,1997-01-08,63.93
Ryckman  Aeneva,1825,1998-06-09,14.49
Joyner  Shalynn,1828,1997-01-08,26.14
Joyner  Shalynn,1828,1997-01-22,46.28
Bacon-Maldonado  Melvin,1839,1997-01-08,73.3
Herriott  Samuel,1845,1997-01-08,17.7
Herriott  Samuel,1845,1997-01-25,139.7
Herriott  Samuel,1845,1997-03-25,78.22
Herriott  Samuel,1845,1997-04-14,52.68
Herriott  Samuel,1845,1997-06-24,40.7
Herriott  Samuel,1845,1997-07-14,69.63
Herriott  Samuel,1845,1997-07-15,26.74
Herriott  Samuel,1845,1997-07-22,57.45
Herriott  Samuel,1845,1997-08-25,72.82
Herriott  Samuel,1845,1997-09-04,49.48
Herriott  Samuel,1845,1997-09-24,36.97
Herriott  Samuel,1845,1997-10-22,72.95
Herriott  Samuel,1845,1998-01-06,24.48
Herriott  Samuel,1845,1998-01-07,107.96
Herriott  Samuel,1845,1998-02-05,29.06
Herriott  Samuel,1845,1998-03-24,8.49
Herriott  Samuel,1845,1998-04-06,26.48
Dang  Van,1858,1997-01-08,24.98
Dang  Van,1858,1997-01-08,28.74
Rohrkaste  Andres,1877,1997-01-08,49.08
Rohrkaste  Andres,1877,1998-01-29,51.96
Mccalman  Karin,1890,1997-01-08,12.49
Mccalman  Karin,1890,1997-02-05,49.96
Mccalman  Karin,1890,1997-03-10,13.58
Mccalman  Karin,1890,1997-03-15,12.79
Mccalman  Karin,1890,1997-04-16,24.98
Mccalman  Karin,1890,1997-05-14,100.93
Mccalman  Karin,1890,1997-05-15,32.3
Mccalman  Karin,1890,1997-05-16,11.58
Mccalman  Karin,1890,1997-05-19,20.76
Mccalman  Karin,1890,1997-05-20,28.81
Mccalman  Karin,1890,1997-06-06,5.78
Mccalman  Karin,1890,1997-06-24,12.25
Mccalman  Karin,1890,1997-07-23,4.99
Mccalman  Karin,1890,1997-07-24,12.25
Mccalman  Karin,1890,1997-10-14,49.96
Mccalman  Karin,1890,1997-10-20,11.49
Mccalman  Karin,1890,1997-10-24,24.98
Mccalman  Karin,1890,1997-11-07,35.96
Mccalman  Karin,1890,1997-11-18,12.49
Mccalman  Karin,1890,1997-11-20,47.97
Mccalman  Karin,1890,1997-12-01,16.98
Mccalman  Karin,1890,1998-01-02,53.48
Mccalman  Karin,1890,1998-01-06,63.96
Mccalman  Karin,1890,1998-01-11,105.95
Mccalman  Karin,1890,1998-01-27,66.95
Mccalman  Karin,1890,1998-02-09,24.98
Mccalman  Karin,1890,1998-02-18,11.02
Mccalman  Karin,1890,1998-03-20,5.99
Mccalman  Karin,1890,1998-03-28,40.97
Mccalman  Karin,1890,1998-05-13,41.97
Montanez  Jenna,1894,1997-01-08,14.37
Chaivong  Ulices,1908,1997-01-08,25.77
Castro  Cierra,1919,1997-01-08,18.99
Castro  Cierra,1919,1997-09-27,14.49
Castro  Cierra,1919,1997-11-29,13.99
Castro  Cierra,1919,1998-04-11,14.49
Cisneros  Dominique,1928,1997-01-08,64.99
Patterson  Jotsna,1944,1997-01-08,51.37
Sanchez  Rozhiane,1956,1997-01-08,93.57
Heck  Audray,1971,1997-01-08,18.36
Vargas  Sara,1985,1997-01-08,6.79
Musick-Occhiuto  Donald,1402,1997-01-09,166.3
Bortolutti  Jerron,1763,1997-01-09,12.49
Mccalman  Karin,1893,1997-01-09,63.29
Mccalman  Karin,1893,1997-01-17,70.62
Mccalman  Karin,1893,1997-03-28,38.93
Mccalman  Karin,1893,1997-05-19,41.31
Mccalman  Karin,1893,1997-06-29,11.77
Mccalman  Karin,1893,1997-08-10,17.7
